insured_sex,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,fraud_reported,age_group,months_as_customer_groups,policy_annual_premium_groups
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,1,2,71610,Y,46-50,301-350,medium
MALE,0,Vehicle Theft,?,Minor Damage,Police,8,1,0,0,5070,Y,41-45,201-250,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,2,3,34650,N,26-30,101-150,medium
FEMALE,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,1,2,63400,Y,41-45,251-300,medium
MALE,-46000,Vehicle Theft,?,Minor Damage,None,20,1,0,1,6500,N,41-45,201-250,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,0,2,64100,Y,36-40,251-300,medium
MALE,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,0,0,78650,Y,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,2,2,51590,N,36-40,151-200,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,1,1,27700,N,31-35,0-50,medium
MALE,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,2,1,42300,N,41-45,201-250,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,2,2,87010,N,41-45,201-250,medium
FEMALE,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,1,2,114920,N,61-65,451-500,medium
MALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,1,0,56520,Y,21-25,51-100,medium
FEMALE,-32800,Parked Car,?,Minor Damage,None,5,1,1,1,7280,N,31-35,101-150,low
FEMALE,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,0,2,46200,Y,36-40,151-200,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,0,0,63120,Y,56-60,451-500,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,1,2,52110,N,26-30,51-100,medium
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,0,2,77880,N,31-35,101-150,low
FEMALE,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,1,0,72930,Y,36-40,151-200,medium
FEMALE,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,2,0,60400,Y,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,1,0,47160,Y,61-65,451-500,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,1,2,37840,N,41-45,201-250,low
MALE,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,0,0,71520,Y,51-55,351-400,low
MALE,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,2,2,98160,Y,51-55,401-450,medium
MALE,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,1,3,77880,N,36-40,201-250,low
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,1,3,71500,Y,31-35,0-50,medium
MALE,-29200,Parked Car,?,Minor Damage,Police,4,1,1,3,9020,N,41-45,251-300,medium
MALE,-30200,Vehicle Theft,?,Minor Damage,None,5,1,2,1,5720,Y,31-35,201-250,low
FEMALE,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,1,0,69840,Y,36-40,201-250,medium
